month,segment_id,state,product_line,territory,written_premium,earned_premium,incurred_losses,loss_ratio,expense_ratio,combined_ratio,retention,policy_count,claim_frequency,avg_claim_severity
2025-04,WA-HO-01,WA,Home,Urban agency corridor,1069341,1079198,613089,56.8,29.0,85.8,81.1,718,5.7,15071
2025-05,WA-HO-01,WA,Home,Urban agency corridor,754590,709227,490475,69.2,29.8,98.9,82.3,367,6.0,22315
2025-06,WA-HO-01,WA,Home,Urban agency corridor,749277,749713,537134,71.6,28.5,100.2,81.9,318,7.8,21650
2025-07,WA-HO-01,WA,Home,Urban agency corridor,797028,740975,555189,74.9,30.1,105.0,85.8,354,7.4,21311
2025-08,WA-HO-01,WA,Home,Urban agency corridor,1245114,1192637,823105,69.0,31.5,100.5,84.7,532,6.6,23285
2025-09,WA-HO-01,WA,Home,Urban agency corridor,1116633,1032419,635563,61.6,28.2,89.8,81.4,680,7.7,12154
2025-10,WA-HO-01,WA,Home,Urban agency corridor,905977,891091,550799,61.8,28.7,90.5,82.2,572,5.1,18980
2025-11,WA-HO-01,WA,Home,Urban agency corridor,1101092,1080076,606049,56.1,30.9,87.0,81.9,640,4.5,21007
2025-12,WA-HO-01,WA,Home,Urban agency corridor,1103496,1076676,686207,63.7,31.6,95.3,85.6,711,8.3,11600
2026-01,WA-HO-01,WA,Home,Urban agency corridor,941677,891555,486926,54.6,32.2,86.8,86.2,553,5.1,17375
2026-02,WA-HO-01,WA,Home,Urban agency corridor,989044,1000373,596924,59.7,28.1,87.8,82.4,527,6.8,16731
2026-03,WA-HO-01,WA,Home,Urban agency corridor,1093985,1104686,665247,60.2,27.8,88.0,86.9,601,7.6,14621
2025-04,WA-HO-02,WA,Home,Rural farm belt,768109,735973,587034,79.8,29.7,109.4,83.0,328,10.6,16957
2025-05,WA-HO-02,WA,Home,Rural farm belt,1097736,1084751,802091,73.9,28.1,102.0,81.1,787,7.6,13334
2025-06,WA-HO-02,WA,Home,Rural farm belt,971711,986657,807397,81.8,28.1,109.9,80.2,677,6.8,17581
2025-07,WA-HO-02,WA,Home,Rural farm belt,1186235,1126739,881360,78.2,30.2,108.4,78.1,529,7.7,21719
